bartels_rotation_number,rigidity_min GV,rigidity_max GV,proton_flux m^-2sr^-1s^-1GV^-1,proton_flux_error_statistical m^-2sr^-1s^-1GV^-1,proton_flux_error_timedependent m^-2sr^-1s^-1GV^-1,proton_flux_error_systematic_total m^-2sr^-1s^-1GV^-1
2451,22.80,41.90,1.243E+0,0.001E+0,0.001E+0,0.015E+0
2452,1.00,1.92,5.844E+2,0.003E+2,0.024E+2,0.112E+2
2452,1.92,2.97,3.936E+2,0.002E+2,0.008E+2,0.048E+2
2452,2.97,4.02,2.330E+2,0.001E+2,0.004E+2,0.025E+2
2452,4.02,4.88,1.496E+2,0.001E+2,0.003E+2,0.016E+2
2452,4.88,5.90,1.018E+2,0.000E+2,0.002E+2,0.011E+2
2452,5.90,7.09,6.781E+1,0.003E+1,0.013E+1,0.071E+1
2452,7.09,8.48,4.461E+1,0.002E+1,0.008E+1,0.047E+1
2452,8.48,11.00,2.627E+1,0.001E+1,0.004E+1,0.028E+1
2452,11.00,16.60,1.124E+1,0.000E+1,0.001E+1,0.012E+1
2452,16.60,22.80,4.276E+0,0.002E+0,0.006E+0,0.049E+0
2452,22.80,41.90,1.237E+0,0.001E+0,0.001E+0,0.015E+0
2453,1.00,1.92,4.906E+2,0.002E+2,0.021E+2,0.094E+2
2453,1.92,2.97,3.368E+2,0.001E+2,0.006E+2,0.041E+2
2453,2.97,4.02,2.053E+2,0.001E+2,0.003E+2,0.022E+2
2453,4.02,4.88,1.347E+2,0.001E+2,0.002E+2,0.014E+2
2453,4.88,5.90,9.300E+1,0.005E+1,0.015E+1,0.097E+1
2453,5.90,7.09,6.286E+1,0.003E+1,0.010E+1,0.066E+1
2453,7.09,8.48,4.197E+1,0.002E+1,0.007E+1,0.044E+1
2453,8.48,11.00,2.514E+1,0.001E+1,0.003E+1,0.027E+1
2453,11.00,16.60,1.095E+1,0.000E+1,0.001E+1,0.012E+1
2453,16.60,22.80,4.225E+0,0.002E+0,0.005E+0,0.048E+0
2453,22.80,41.90,1.235E+0,0.001E+0,0.001E+0,0.015E+0
2454,1.00,1.92,4.757E+2,0.002E+2,0.024E+2,0.092E+2
2454,1.92,2.97,3.386E+2,0.001E+2,0.012E+2,0.042E+2
2454,2.97,4.02,2.098E+2,0.001E+2,0.008E+2,0.024E+2
2454,4.02,4.88,1.387E+2,0.001E+2,0.006E+2,0.016E+2
2454,4.88,5.90,9.578E+1,0.005E+1,0.045E+1,0.108E+1
2454,5.90,7.09,6.478E+1,0.003E+1,0.030E+1,0.074E+1
2454,7.09,8.48,4.316E+1,0.002E+1,0.020E+1,0.049E+1
2454,8.48,11.00,2.571E+1,0.001E+1,0.010E+1,0.029E+1
2454,11.00,16.60,1.114E+1,0.000E+1,0.003E+1,0.013E+1
2454,16.60,22.80,4.270E+0,0.002E+0,0.014E+0,0.051E+0
2454,22.80,41.90,1.239E+0,0.001E+0,0.003E+0,0.015E+0
2455,1.00,1.92,4.745E+2,0.002E+2,0.021E+2,0.091E+2
2455,1.92,2.97,3.422E+2,0.001E+2,0.007E+2,0.041E+2
2455,2.97,4.02,2.128E+2,0.001E+2,0.004E+2,0.023E+2
2455,4.02,4.88,1.405E+2,0.001E+2,0.003E+2,0.015E+2
2455,4.88,5.90,9.717E+1,0.005E+1,0.021E+1,0.102E+1
2455,5.90,7.09,6.572E+1,0.003E+1,0.014E+1,0.069E+1
2455,7.09,8.48,4.376E+1,0.002E+1,0.009E+1,0.047E+1
2455,8.48,11.00,2.600E+1,0.001E+1,0.004E+1,0.028E+1
2455,11.00,16.60,1.119E+1,0.000E+1,0.002E+1,0.012E+1
2455,16.60,22.80,4.273E+0,0.002E+0,0.006E+0,0.049E+0
2455,22.80,41.90,1.240E+0,0.001E+0,0.001E+0,0.015E+0
2456,1.00,1.92,4.697E+2,0.002E+2,0.023E+2,0.090E+2
2456,1.92,2.97,3.422E+2,0.001E+2,0.009E+2,0.042E+2
2456,2.97,4.02,2.140E+2,0.001E+2,0.006E+2,0.024E+2
2456,4.02,4.88,1.415E+2,0.001E+2,0.005E+2,0.015E+2
2456,4.88,5.90,9.784E+1,0.005E+1,0.032E+1,0.105E+1
2456,5.90,7.09,6.618E+1,0.003E+1,0.021E+1,0.072E+1
2456,7.09,8.48,4.400E+1,0.002E+1,0.014E+1,0.048E+1
2456,8.48,11.00,2.614E+1,0.001E+1,0.007E+1,0.029E+1
2456,11.00,16.60,1.127E+1,0.000E+1,0.002E+1,0.013E+1
2456,16.60,22.80,4.307E+0,0.002E+0,0.010E+0,0.050E+0
2456,22.80,41.90,1.245E+0,0.001E+0,0.002E+0,0.015E+0
2457,1.00,1.92,4.371E+2,0.002E+2,0.020E+2,0.084E+2
2457,1.92,2.97,3.287E+2,0.001E+2,0.008E+2,0.040E+2
2457,2.97,4.02,2.099E+2,0.001E+2,0.004E+2,0.023E+2
