Date_Time,North_Pole_Field_Gauss,South_Pole_Field_Gauss,Average_Field_Gauss,North_Filtered_Gauss,South_Filtered_Gauss,Average_Filtered_Gauss
1976:05:31_21h:07m:13s,89N,-126S,108Avg,111Nf,-92Sf,101Avgf
1976:06:10_21h:07m:13s,99N,-121S,110Avg,109Nf,-92Sf,101Avgf
1976:06:20_21h:07m:13s,107N,-114S,111Avg,108Nf,-93Sf,100Avgf
1976:06:30_21h:07m:13s,117N,-107S,112Avg,106Nf,-93Sf,100Avgf
1976:07:10_21h:07m:13s,119N,-99S,109Avg,105Nf,-93Sf,99Avgf
1976:07:20_21h:07m:13s,128N,-97S,112Avg,104Nf,-94Sf,99Avgf
1976:07:30_21h:07m:13s,135N,-94S,114Avg,103Nf,-94Sf,99Avgf
1976:08:09_21h:07m:13s,139N,-81S,110Avg,102Nf,-95Sf,98Avgf
1976:08:19_21h:07m:13s,118N,-80S,99Avg,100Nf,-95Sf,98Avgf
1976:08:29_21h:07m:13s,117N,-66S,92Avg,99Nf,-95Sf,97Avgf
1976:09:08_21h:07m:13s,121N,-62S,91Avg,98Nf,-96Sf,97Avgf
1976:09:18_21h:07m:13s,132N,-56S,94Avg,97Nf,-96Sf,97Avgf
1976:09:28_21h:07m:13s,129N,-62S,96Avg,97Nf,-96Sf,96Avgf
1976:10:08_21h:07m:13s,122N,-67S,95Avg,96Nf,-97Sf,96Avgf
1976:10:18_21h:07m:13s,113N,-69S,91Avg,95Nf,-97Sf,96Avgf
1976:10:28_21h:07m:13s,103N,-82S,93Avg,94Nf,-97Sf,96Avgf
1976:11:07_21h:07m:13s,95N,-88S,91Avg,93Nf,-98Sf,95Avgf
1976:11:17_21h:07m:13s,88N,-95S,92Avg,93Nf,-98Sf,95Avgf
1976:11:27_21h:07m:13s,86N,-107S,97Avg,92Nf,-98Sf,95Avgf
1976:12:07_21h:07m:13s,89N,-107S,98Avg,91Nf,-98Sf,95Avgf
1976:12:17_21h:07m:13s,86N,-110S,98Avg,91Nf,-98Sf,95Avgf
1976:12:27_21h:07m:13s,75N,-111S,93Avg,90Nf,-99Sf,94Avgf
1977:01:06_21h:07m:13s,58N,-112S,85Avg,90Nf,-99Sf,94Avgf
1977:01:16_21h:07m:13s,52N,-97S,75Avg,89Nf,-99Sf,94Avgf
1977:01:26_21h:07m:13s,44N,-81S,62Avg,89Nf,-99Sf,94Avgf
1977:02:05_21h:07m:13s,52N,-104S,78Avg,89Nf,-100Sf,94Avgf
1977:02:15_21h:07m:13s,55N,-112S,83Avg,88Nf,-100Sf,94Avgf
1977:02:25_21h:07m:13s,58N,-127S,92Avg,88Nf,-100Sf,94Avgf
1977:03:07_21h:07m:13s,53N,-139S,96Avg,88Nf,-100Sf,94Avgf
1977:03:17_21h:07m:13s,62N,-134S,98Avg,87Nf,-101Sf,94Avgf
1977:03:27_21h:07m:13s,56N,-135S,95Avg,87Nf,-101Sf,94Avgf
1977:04:06_21h:07m:13s,61N,-132S,96Avg,87Nf,-101Sf,94Avgf
1977:04:16_21h:07m:13s,60N,-136S,98Avg,87Nf,-102Sf,94Avgf
1977:04:26_21h:07m:13s,69N,-124S,96Avg,87Nf,-102Sf,94Avgf
1977:05:06_21h:07m:13s,76N,-115S,96Avg,86Nf,-103Sf,95Avgf
1977:05:16_21h:07m:13s,84N,-119S,102Avg,86Nf,-103Sf,95Avgf
1977:05:26_21h:07m:13s,93N,-123S,108Avg,86Nf,-104Sf,95Avgf
1977:06:05_21h:07m:13s,98N,-116S,107Avg,86Nf,-104Sf,95Avgf
1977:06:15_21h:07m:13s,96N,-109S,102Avg,86Nf,-105Sf,95Avgf
1977:06:25_21h:07m:13s,104N,-103S,104Avg,86Nf,-106Sf,96Avgf
1977:07:05_21h:07m:13s,110N,-91S,100Avg,86Nf,-106Sf,96Avgf
1977:07:15_21h:07m:13s,113N,-89S,101Avg,86Nf,-107Sf,96Avgf
1977:07:25_21h:07m:13s,112N,-84S,98Avg,86Nf,-107Sf,97Avgf
1977:08:04_21h:07m:13s,113N,-82S,97Avg,86Nf,-108Sf,97Avgf
1977:08:14_21h:07m:13s,115N,-66S,91Avg,86Nf,-109Sf,97Avgf
1977:08:24_21h:07m:13s,107N,-67S,87Avg,86Nf,-109Sf,98Avgf
1977:09:03_21h:07m:13s,110N,-67S,88Avg,86Nf,-110Sf,98Avgf
1977:09:13_21h:07m:13s,109N,-71S,90Avg,87Nf,-110Sf,98Avgf
1977:09:23_21h:07m:13s,114N,-76S,95Avg,87Nf,-111Sf,99Avgf
1977:10:03_21h:07m:13s,113N,-71S,92Avg,87Nf,-111Sf,99Avgf
1977:10:13_21h:07m:13s,117N,-68S,93Avg,87Nf,-111Sf,99Avgf
1977:10:23_21h:07m:13s,115N,-72S,94Avg,87Nf,-112Sf,99Avgf
1977:11:02_21h:07m:13s,108N,-82S,95Avg,88Nf,-112Sf,100Avgf
1977:11:12_21h:07m:13s,106N,-92S,99Avg,88Nf,-112Sf,100Avgf
1977:11:22_21h:07m:13s,106N,-95S,100Avg,88Nf,-112Sf,100Avgf
1977:12:02_21h:07m:13s,104N,-103S,103Avg,88Nf,-112Sf,100Avgf
1977:12:12_21h:07m:13s,90N,-109S,99Avg,89Nf,-112Sf,100Avgf
1977:12:22_21h:07m:13s,80N,-118S,98Avg,89Nf,-111Sf,100Avgf
1978:01:01_21h:07m:13s,56N,-129S,93Avg,89Nf,-111Sf,100Avgf
1978:01:11_21h:07m:13s,49N,-137S,93Avg,89Nf,-111Sf,100Avgf
1978:01:21_21h:07m:13s,52N,-144S,98Avg,89Nf,-110Sf,100Avgf
1978:01:31_21h:07m:13s,52N,-146S,99Avg,89Nf,-110Sf,100Avgf
1978:02:10_21h:07m:13s,56N,-152S,104Avg,89Nf,-109Sf,99Avgf
1978:02:20_21h:07m:13s,48N,-152S,100Avg,89Nf,-108Sf,99Avgf
1978:03:02_21h:07m:13s,50N,-158S,104Avg,89Nf,-107Sf,98Avgf
1978:03:12_21h:07m:13s,49N,-157S,103Avg,89Nf,-107Sf,98Avgf
1978:03:22_21h:07m:13s,54N,-157S,105Avg,89Nf,-106Sf,97Avgf
1978:04:01_21h:07m:13s,55N,-149S,102Avg,88Nf,-105Sf,97Avgf
1978:04:11_21h:07m:13s,50N,-151S,101Avg,88Nf,-104Sf,96Avgf
1978:04:21_21h:07m:13s,58N,-133S,95Avg,88Nf,-102Sf,95Avgf
1978:05:01_21h:07m:13s,66N,-125S,96Avg,87Nf,-101Sf,94Avgf
1978:05:11_21h:07m:13s,70N,-117S,94Avg,86Nf,-100Sf,93Avgf
1978:05:21_21h:07m:13s,74N,-116S,95Avg,86Nf,-99Sf,92Avgf
1978:05:31_21h:07m:13s,86N,-112S,99Avg,85Nf,-98Sf,91Avgf
1978:06:10_21h:07m:13s,93N,-100S,96Avg,84Nf,-96Sf,90Avgf
1978:06:20_21h:07m:13s,99N,-93S,96Avg,84Nf,-95Sf,89Avgf
1978:06:30_21h:07m:13s,104N,-70S,87Avg,83Nf,-94Sf,88Avgf
1978:07:10_21h:07m:13s,115N,-71S,93Avg,82Nf,-92Sf,87Avgf
1978:07:20_21h:07m:13s,114N,-58S,86Avg,81Nf,-91Sf,86Avgf
1978:07:30_21h:07m:13s,109N,-46S,78Avg,80Nf,-89Sf,85Avgf
1978:08:09_21h:07m:13s,114N,-42S,78Avg,79Nf,-88Sf,83Avgf
1978:08:19_21h:07m:13s,118N,-47S,82Avg,78Nf,-86Sf,82Avgf
1978:08:29_21h:07m:13s,117N,-42S,80Avg,77Nf,-85Sf,81Avgf
1978:09:08_21h:07m:13s,113N,-36S,74Avg,76Nf,-84Sf,80Avgf
1978:09:18_21h:07m:13s,117N,-34S,76Avg,75Nf,-82Sf,78Avgf
1978:09:28_21h:07m:13s,113N,-38S,76Avg,74Nf,-81Sf,77Avgf
1978:10:08_21h:07m:13s,105N,-32S,69Avg,73Nf,-79Sf,76Avgf
1978:10:18_21h:07m:13s,107N,-31S,69Avg,72Nf,-78Sf,75Avgf
1978:10:28_21h:07m:13s,106N,-44S,75Avg,70Nf,-76Sf,73Avgf
1978:11:07_21h:07m:13s,107N,-46S,77Avg,69Nf,-75Sf,72Avgf
1978:11:17_21h:07m:13s,84N,-49S,67Avg,68Nf,-73Sf,71Avgf
1978:11:27_21h:07m:13s,72N,-49S,61Avg,67Nf,-72Sf,69Avgf
1978:12:07_21h:07m:13s,65N,-64S,64Avg,66Nf,-70Sf,68Avgf
1978:12:17_21h:07m:13s,52N,-73S,62Avg,65Nf,-69Sf,67Avgf
1978:12:27_21h:07m:13s,46N,-74S,60Avg,64Nf,-68Sf,66Avgf
1979:01:06_21h:07m:13s,42N,-95S,69Avg,63Nf,-66Sf,64Avgf
1979:01:16_21h:07m:13s,14N,-102S,58Avg,62Nf,-65Sf,63Avgf
1979:01:26_21h:07m:13s,13N,-89S,51Avg,60Nf,-63Sf,62Avgf
1979:02:05_21h:07m:13s,10N,-88S,49Avg,59Nf,-62Sf,61Avgf
1979:02:15_21h:07m:13s,9N,-90S,50Avg,58Nf,-61Sf,59Avgf
1979:02:25_21h:07m:13s,-9N,-99S,45Avg,57Nf,-59Sf,58Avgf
1979:03:07_21h:07m:13s,-6N,-98S,46Avg,55Nf,-58Sf,57Avgf
1979:03:17_21h:07m:13s,-0N,-106S,53Avg,54Nf,-57Sf,56Avgf
1979:03:27_21h:07m:13s,-6N,-103S,48Avg,53Nf,-56Sf,54Avgf
1979:04:06_21h:07m:13s,-4N,-91S,44Avg,52Nf,-54Sf,53Avgf
1979:04:16_21h:07m:13s,-3N,-83S,40Avg,50Nf,-53Sf,52Avgf
1979:04:26_21h:07m:13s,-2N,-78S,38Avg,49Nf,-52Sf,50Avgf
1979:05:06_21h:07m:13s,-1N,-67S,33Avg,47Nf,-51Sf,49Avgf
1979:05:16_21h:07m:13s,27N,-63S,45Avg,46Nf,-50Sf,48Avgf
1979:05:26_21h:07m:13s,37N,-64S,50Avg,44Nf,-48Sf,46Avgf
1979:06:05_21h:07m:13s,43N,-55S,49Avg,43Nf,-47Sf,45Avgf
1979:06:15_21h:07m:13s,58N,-51S,54Avg,41Nf,-46Sf,44Avgf
1979:06:25_21h:07m:13s,77N,-47S,62Avg,40Nf,-45Sf,42Avgf
1979:07:05_21h:07m:13s,82N,-37S,59Avg,38Nf,-43Sf,41Avgf
1979:07:15_21h:07m:13s,91N,-29S,60Avg,36Nf,-42Sf,39Avgf
1979:07:25_21h:07m:13s,99N,-15S,57Avg,34Nf,-41Sf,38Avgf
1979:08:04_21h:07m:13s,95N,-17S,56Avg,32Nf,-40Sf,36Avgf
1979:08:14_21h:07m:13s,82N,-20S,51Avg,30Nf,-38Sf,34Avgf
1979:08:24_21h:07m:13s,70N,-21S,45Avg,28Nf,-37Sf,32Avgf
1979:09:03_21h:07m:13s,70N,14S,28Avg,26Nf,-36Sf,31Avgf
1979:09:13_21h:07m:13s,66N,1S,33Avg,23Nf,-34Sf,29Avgf
1979:09:23_21h:07m:13s,68N,1S,33Avg,21Nf,-33Sf,27Avgf
1979:10:03_21h:07m:13s,69N,-11S,40Avg,19Nf,-31Sf,25Avgf
1979:10:13_21h:07m:13s,62N,11S,26Avg,16Nf,-30Sf,23Avgf
1979:10:23_21h:07m:13s,49N,6S,21Avg,13Nf,-28Sf,21Avgf
1979:11:02_21h:07m:13s,43N,-2S,23Avg,10Nf,-27Sf,19Avgf
1979:11:12_21h:07m:13s,46N,19S,13Avg,8Nf,-25Sf,17Avgf
1979:11:22_21h:07m:13s,18N,9S,4Avg,5Nf,-24Sf,14Avgf
1979:12:02_21h:07m:13s,-6N,3S,-5Avg,2Nf,-22Sf,12Avgf
1979:12:12_21h:07m:13s,-16N,-2S,-7Avg,-1Nf,-21Sf,10Avgf
1979:12:22_21h:07m:13s,-32N,-1S,-16Avg,-4Nf,-19Sf,8Avgf
1980:01:01_21h:07m:13s,-34N,-17S,-8Avg,-8Nf,-18Sf,5Avgf
1980:01:11_21h:07m:13s,-50N,-33S,-8Avg,-11Nf,-16Sf,3Avgf
1980:01:21_21h:07m:13s,-48N,-37S,-6Avg,-14Nf,-15Sf,1Avgf
1980:01:31_21h:07m:13s,-49N,-42S,-3Avg,-17Nf,-13Sf,-2Avgf
1980:02:10_21h:07m:13s,-36N,-50S,7Avg,-20Nf,-12Sf,-4Avgf
1980:02:20_21h:07m:13s,-42N,-49S,3Avg,-23Nf,-10Sf,-6Avgf
1980:03:01_21h:07m:13s,-68N,-43S,-12Avg,-26Nf,-9Sf,-9Avgf
1980:03:11_21h:07m:13s,-94N,-46S,-24Avg,-29Nf,-7Sf,-11Avgf
1980:03:21_21h:07m:13s,-81N,-48S,-17Avg,-32Nf,-6Sf,-13Avgf
1980:03:31_21h:07m:13s,-66N,-41S,-12Avg,-35Nf,-4Sf,-15Avgf
1980:04:10_21h:07m:13s,-44N,-32S,-6Avg,-37Nf,-2Sf,-18Avgf
1980:04:20_21h:07m:13s,-48N,-25S,-11Avg,-40Nf,-0Sf,-20Avgf
1980:04:30_21h:07m:13s,-52N,-26S,-13Avg,-42Nf,1Sf,-22Avgf
1980:05:10_21h:07m:13s,-61N,-26S,-18Avg,-44Nf,3Sf,-24Avgf
1980:05:20_21h:07m:13s,-65N,-20S,-23Avg,-46Nf,5Sf,-26Avgf
1980:05:30_21h:07m:13s,-48N,-8S,-20Avg,-48Nf,7Sf,-28Avgf
1980:06:09_21h:07m:13s,-41N,1S,-21Avg,-50Nf,9Sf,-29Avgf
1980:06:19_21h:07m:13s,-41N,12S,-26Avg,-51Nf,11Sf,-31Avgf
1980:06:29_21h:07m:13s,-47N,15S,-31Avg,-52Nf,13Sf,-33Avgf
1980:07:09_21h:07m:13s,-27N,23S,-25Avg,-54Nf,15Sf,-35Avgf
1980:07:19_21h:07m:13s,-30N,33S,-32Avg,-54Nf,18Sf,-36Avgf
1980:07:29_21h:07m:13s,-39N,38S,-39Avg,-55Nf,20Sf,-38Avgf
1980:08:08_21h:07m:13s,-28N,42S,-35Avg,-56Nf,22Sf,-39Avgf
1980:08:18_21h:07m:13s,-22N,43S,-32Avg,-56Nf,24Sf,-40Avgf
1980:08:28_21h:07m:13s,-24N,43S,-33Avg,-56Nf,27Sf,-42Avgf
1980:09:07_21h:07m:13s,-48N,51S,-49Avg,-56Nf,29Sf,-43Avgf
1980:09:17_21h:07m:13s,-41N,57S,-49Avg,-56Nf,31Sf,-44Avgf
1980:09:27_21h:07m:13s,-53N,63S,-58Avg,-56Nf,34Sf,-45Avgf
1980:10:07_21h:07m:13s,-57N,61S,-59Avg,-56Nf,36Sf,-46Avgf
1980:10:17_21h:07m:13s,-69N,51S,-60Avg,-55Nf,38Sf,-47Avgf
1980:10:27_21h:07m:13s,-58N,52S,-55Avg,-54Nf,41Sf,-48Avgf
1980:11:06_21h:07m:13s,-67N,58S,-63Avg,-54Nf,43Sf,-48Avgf
1980:11:16_21h:07m:13s,-71N,61S,-66Avg,-53Nf,45Sf,-49Avgf
1980:11:26_21h:07m:13s,-76N,57S,-66Avg,-52Nf,47Sf,-50Avgf
1980:12:06_21h:07m:13s,-80N,56S,-68Avg,-51Nf,49Sf,-50Avgf
1980:12:16_21h:07m:13s,-76N,55S,-66Avg,-50Nf,51Sf,-51Avgf
1980:12:26_21h:07m:13s,-71N,51S,-61Avg,-50Nf,53Sf,-51Avgf
1981:01:05_21h:07m:13s,-62N,48S,-55Avg,-49Nf,54Sf,-51Avgf
1981:01:15_21h:07m:13s,-54N,37S,-46Avg,-48Nf,56Sf,-52Avgf
1981:01:25_21h:07m:13s,-40N,32S,-36Avg,-47Nf,57Sf,-52Avgf
1981:02:04_21h:07m:13s,-38N,31S,-35Avg,-46Nf,59Sf,-52Avgf
1981:02:14_21h:07m:13s,-34N,35S,-34Avg,-45Nf,60Sf,-53Avgf
1981:02:24_21h:07m:13s,-30N,35S,-32Avg,-45Nf,61Sf,-53Avgf
1981:03:06_21h:07m:13s,-26N,30S,-28Avg,-44Nf,62Sf,-53Avgf
1981:03:16_21h:07m:13s,-16N,26S,-21Avg,-43Nf,63Sf,-53Avgf
1981:03:26_21h:07m:13s,-21N,57S,-39Avg,-43Nf,63Sf,-53Avgf
1981:04:05_21h:07m:13s,-27N,58S,-43Avg,-42Nf,64Sf,-53Avgf
1981:04:15_21h:07m:13s,-21N,59S,-40Avg,-42Nf,65Sf,-53Avgf
1981:04:25_21h:07m:13s,-18N,62S,-40Avg,-42Nf,65Sf,-53Avgf
1981:05:05_21h:07m:13s,-19N,70S,-44Avg,-41Nf,65Sf,-53Avgf
1981:05:15_21h:07m:13s,-32N,79S,-55Avg,-41Nf,65Sf,-53Avgf
1981:05:25_21h:07m:13s,-30N,88S,-59Avg,-41Nf,65Sf,-53Avgf
1981:06:04_21h:07m:13s,-31N,88S,-60Avg,-41Nf,65Sf,-53Avgf
1981:06:14_21h:07m:13s,-32N,97S,-65Avg,-41Nf,65Sf,-53Avgf
1981:06:24_21h:07m:13s,-46N,97S,-72Avg,-41Nf,65Sf,-53Avgf
1981:07:04_21h:07m:13s,-51N,95S,-73Avg,-41Nf,64Sf,-53Avgf
1981:07:14_21h:07m:13s,-54N,81S,-67Avg,-42Nf,64Sf,-53Avgf
1981:07:24_21h:07m:13s,-53N,73S,-63Avg,-42Nf,63Sf,-53Avgf
1981:08:03_21h:07m:13s,-56N,67S,-61Avg,-42Nf,62Sf,-52Avgf
1981:08:13_21h:07m:13s,-61N,60S,-60Avg,-43Nf,62Sf,-52Avgf
1981:08:23_21h:07m:13s,-60N,55S,-58Avg,-44Nf,61Sf,-52Avgf
1981:09:02_21h:07m:13s,-49N,51S,-50Avg,-44Nf,60Sf,-52Avgf
1981:09:12_21h:07m:13s,-50N,40S,-45Avg,-45Nf,59Sf,-52Avgf
1981:09:22_21h:07m:13s,-56N,39S,-47Avg,-46Nf,59Sf,-52Avgf
1981:10:02_21h:07m:13s,-56N,35S,-45Avg,-47Nf,58Sf,-52Avgf
1981:10:12_21h:07m:13s,-50N,36S,-43Avg,-47Nf,57Sf,-52Avgf
1981:10:22_21h:07m:13s,-52N,45S,-48Avg,-49Nf,56Sf,-52Avgf
1981:11:01_21h:07m:13s,-65N,52S,-58Avg,-50Nf,55Sf,-52Avgf
1981:11:11_21h:07m:13s,-60N,64S,-62Avg,-51Nf,54Sf,-53Avgf
1981:11:21_21h:07m:13s,-57N,52S,-55Avg,-52Nf,54Sf,-53Avgf
1981:12:01_21h:07m:13s,-57N,48S,-52Avg,-53Nf,53Sf,-53Avgf
1981:12:11_21h:07m:13s,-62N,55S,-58Avg,-55Nf,52Sf,-53Avgf
1981:12:21_21h:07m:13s,-50N,55S,-53Avg,-56Nf,51Sf,-54Avgf
1981:12:31_21h:07m:13s,-63N,67S,-65Avg,-57Nf,51Sf,-54Avgf
1982:01:10_21h:07m:13s,-59N,71S,-65Avg,-59Nf,50Sf,-54Avgf
1982:01:20_21h:07m:13s,-54N,52S,-53Avg,-60Nf,49Sf,-55Avgf
1982:01:30_21h:07m:13s,-43N,39S,-41Avg,-62Nf,49Sf,-55Avgf
1982:02:09_21h:07m:13s,-41N,35S,-38Avg,-63Nf,48Sf,-56Avgf
1982:02:19_21h:07m:13s,-43N,38S,-40Avg,-64Nf,48Sf,-56Avgf
1982:03:01_21h:07m:13s,-43N,36S,-40Avg,-66Nf,47Sf,-56Avgf
1982:03:11_21h:07m:13s,-44N,33S,-39Avg,-67Nf,47Sf,-57Avgf
1982:03:21_21h:07m:13s,-39N,27S,-33Avg,-68Nf,47Sf,-58Avgf
1982:03:31_21h:07m:13s,-53N,43S,-48Avg,-70Nf,46Sf,-58Avgf
1982:04:10_21h:07m:13s,-63N,69S,-66Avg,-71Nf,46Sf,-59Avgf
1982:04:20_21h:07m:13s,-65N,67S,-66Avg,-72Nf,46Sf,-59Avgf
1982:04:30_21h:07m:13s,-69N,67S,-68Avg,-73Nf,46Sf,-60Avgf
1982:05:10_21h:07m:13s,-75N,63S,-69Avg,-74Nf,46Sf,-60Avgf
1982:05:20_21h:07m:13s,-80N,61S,-71Avg,-75Nf,47Sf,-61Avgf
1982:05:30_21h:07m:13s,-76N,51S,-64Avg,-76Nf,47Sf,-62Avgf
1982:06:09_21h:07m:13s,-86N,51S,-69Avg,-77Nf,47Sf,-62Avgf
1982:06:19_21h:07m:13s,-90N,44S,-67Avg,-78Nf,48Sf,-63Avgf
1982:06:29_21h:07m:13s,-91N,37S,-64Avg,-79Nf,48Sf,-63Avgf
1982:07:09_21h:07m:13s,-89N,27S,-58Avg,-79Nf,49Sf,-64Avgf
1982:07:19_21h:07m:13s,-87N,29S,-58Avg,-80Nf,49Sf,-65Avgf
1982:07:29_21h:07m:13s,-96N,37S,-66Avg,-80Nf,50Sf,-65Avgf
1982:08:08_21h:07m:13s,-95N,33S,-64Avg,-81Nf,51Sf,-66Avgf
1982:08:18_21h:07m:13s,-102N,30S,-66Avg,-82Nf,52Sf,-67Avgf
1982:08:28_21h:07m:13s,-102N,31S,-67Avg,-82Nf,52Sf,-67Avgf
1982:09:07_21h:07m:13s,-104N,23S,-64Avg,-83Nf,53Sf,-68Avgf
1982:09:17_21h:07m:13s,-105N,37S,-71Avg,-83Nf,54Sf,-69Avgf
1982:09:27_21h:07m:13s,-109N,53S,-81Avg,-83Nf,55Sf,-69Avgf
1982:10:07_21h:07m:13s,-111N,57S,-84Avg,-84Nf,56Sf,-70Avgf
1982:10:17_21h:07m:13s,-107N,56S,-82Avg,-84Nf,57Sf,-71Avgf
1982:10:27_21h:07m:13s,-112N,59S,-86Avg,-85Nf,58Sf,-72Avgf
1982:11:06_21h:07m:13s,-112N,68S,-90Avg,-85Nf,59Sf,-72Avgf
1982:11:16_21h:07m:13s,-117N,71S,-94Avg,-86Nf,60Sf,-73Avgf
1982:11:26_21h:07m:13s,-99N,78S,-89Avg,-87Nf,61Sf,-74Avgf
1982:12:06_21h:07m:13s,-89N,98S,-94Avg,-87Nf,63Sf,-75Avgf
1982:12:16_21h:07m:13s,-88N,100S,-94Avg,-88Nf,64Sf,-76Avgf
1982:12:26_21h:07m:13s,-74N,88S,-81Avg,-88Nf,65Sf,-77Avgf
1983:01:05_21h:07m:13s,-70N,92S,-81Avg,-89Nf,66Sf,-77Avgf
1983:01:15_21h:07m:13s,-59N,98S,-78Avg,-90Nf,67Sf,-78Avgf
1983:01:25_21h:07m:13s,-50N,88S,-69Avg,-90Nf,68Sf,-79Avgf
1983:02:04_21h:07m:13s,-63N,85S,-74Avg,-91Nf,69Sf,-80Avgf
1983:02:14_21h:07m:13s,-66N,85S,-75Avg,-92Nf,70Sf,-81Avgf
1983:02:24_21h:07m:13s,-85N,89S,-87Avg,-92Nf,71Sf,-82Avgf
1983:03:06_21h:07m:13s,-54N,70S,-62Avg,-93Nf,72Sf,-83Avgf
1983:03:16_21h:07m:13s,-40N,60S,-50Avg,-94Nf,73Sf,-84Avgf
1983:03:26_21h:07m:13s,-38N,52S,-45Avg,-94Nf,75Sf,-84Avgf
1983:04:05_21h:07m:13s,-40N,52S,-46Avg,-95Nf,76Sf,-85Avgf
1983:04:15_21h:07m:13s,-41N,50S,-45Avg,-96Nf,77Sf,-86Avgf
1983:04:25_21h:07m:13s,-50N,54S,-52Avg,-96Nf,78Sf,-87Avgf
1983:05:05_21h:07m:13s,-57N,50S,-54Avg,-97Nf,79Sf,-88Avgf
1983:05:15_21h:07m:13s,-82N,90S,-86Avg,-98Nf,81Sf,-89Avgf
1983:05:25_21h:07m:13s,-87N,104S,-95Avg,-98Nf,82Sf,-90Avgf
1983:06:04_21h:07m:13s,-102N,110S,-106Avg,-99Nf,83Sf,-91Avgf
1983:06:14_21h:07m:13s,-117N,93S,-105Avg,-100Nf,85Sf,-92Avgf
1983:06:24_21h:07m:13s,-122N,96S,-109Avg,-100Nf,86Sf,-93Avgf
1983:07:04_21h:07m:13s,-129N,100S,-114Avg,-101Nf,88Sf,-94Avgf
1983:07:14_21h:07m:13s,-130N,103S,-117Avg,-102Nf,89Sf,-95Avgf
1983:07:24_21h:07m:13s,-144N,94S,-119Avg,-102Nf,90Sf,-96Avgf
1983:08:03_21h:07m:13s,-143N,86S,-115Avg,-103Nf,92Sf,-97Avgf
1983:08:13_21h:07m:13s,-162N,79S,-120Avg,-103Nf,93Sf,-98Avgf
1983:08:23_21h:07m:13s,-153N,74S,-114Avg,-104Nf,95Sf,-99Avgf
1983:09:02_21h:07m:13s,-156N,66S,-111Avg,-104Nf,96Sf,-100Avgf
1983:09:12_21h:07m:13s,-151N,63S,-107Avg,-105Nf,97Sf,-101Avgf
1983:09:22_21h:07m:13s,-149N,59S,-104Avg,-105Nf,99Sf,-102Avgf
1983:10:02_21h:07m:13s,-137N,71S,-104Avg,-106Nf,100Sf,-103Avgf
1983:10:12_21h:07m:13s,-137N,75S,-106Avg,-106Nf,101Sf,-104Avgf
1983:10:22_21h:07m:13s,-133N,86S,-109Avg,-107Nf,103Sf,-105Avgf
1983:11:01_21h:07m:13s,-134N,82S,-108Avg,-107Nf,104Sf,-106Avgf
1983:11:11_21h:07m:13s,-117N,98S,-107Avg,-108Nf,105Sf,-106Avgf
1983:11:21_21h:07m:13s,-115N,111S,-113Avg,-108Nf,106Sf,-107Avgf
1983:12:01_21h:07m:13s,-117N,120S,-118Avg,-108Nf,108Sf,-108Avgf
1983:12:11_21h:07m:13s,-108N,128S,-118Avg,-109Nf,109Sf,-109Avgf
1983:12:21_21h:07m:13s,-77N,124S,-100Avg,-109Nf,110Sf,-109Avgf
1983:12:31_21h:07m:13s,-88N,124S,-106Avg,-109Nf,111Sf,-110Avgf
1984:01:10_21h:07m:13s,-84N,126S,-105Avg,-110Nf,112Sf,-111Avgf
1984:01:20_21h:07m:13s,-80N,134S,-107Avg,-110Nf,113Sf,-111Avgf
1984:01:30_21h:07m:13s,-70N,139S,-105Avg,-110Nf,114Sf,-112Avgf
1984:02:09_21h:07m:13s,-70N,144S,-107Avg,-110Nf,115Sf,-113Avgf
1984:02:19_21h:07m:13s,-65N,144S,-105Avg,-110Nf,116Sf,-113Avgf
1984:02:29_21h:07m:13s,-63N,145S,-104Avg,-110Nf,117Sf,-114Avgf
1984:03:10_21h:07m:13s,-69N,141S,-105Avg,-110Nf,118Sf,-114Avgf
1984:03:20_21h:07m:13s,-70N,146S,-108Avg,-111Nf,119Sf,-115Avgf
1984:03:30_21h:07m:13s,-71N,144S,-107Avg,-111Nf,120Sf,-115Avgf
1984:04:09_21h:07m:13s,-71N,143S,-107Avg,-111Nf,122Sf,-116Avgf
1984:04:19_21h:07m:13s,-86N,136S,-111Avg,-111Nf,123Sf,-117Avgf
1984:04:29_21h:07m:13s,-87N,135S,-111Avg,-110Nf,124Sf,-117Avgf
1984:05:09_21h:07m:13s,-87N,129S,-108Avg,-110Nf,125Sf,-118Avgf
1984:05:19_21h:07m:13s,-96N,123S,-109Avg,-110Nf,126Sf,-118Avgf
1984:05:29_21h:07m:13s,-107N,118S,-112Avg,-110Nf,127Sf,-119Avgf
1984:06:08_21h:07m:13s,-117N,119S,-118Avg,-110Nf,128Sf,-119Avgf
1984:06:18_21h:07m:13s,-116N,117S,-117Avg,-110Nf,129Sf,-120Avgf
1984:06:28_21h:07m:13s,-126N,115S,-120Avg,-110Nf,130Sf,-120Avgf
1984:07:08_21h:07m:13s,-138N,123S,-130Avg,-110Nf,131Sf,-121Avgf
1984:07:18_21h:07m:13s,-141N,124S,-132Avg,-110Nf,133Sf,-121Avgf
1984:07:28_21h:07m:13s,-141N,120S,-131Avg,-110Nf,134Sf,-122Avgf
1984:08:07_21h:07m:13s,-146N,109S,-127Avg,-110Nf,135Sf,-122Avgf
1984:08:17_21h:07m:13s,-148N,102S,-125Avg,-110Nf,136Sf,-123Avgf
