Date_Time,North_Pole_Field_Gauss,South_Pole_Field_Gauss,Average_Field_Gauss,North_Filtered_Gauss,South_Filtered_Gauss,Average_Filtered_Gauss
2005:07:28_21h:07m:13s,-76N,43S,-60Avg,-47Nf,57Sf,-52Avgf
2005:08:07_21h:07m:13s,-64N,37S,-51Avg,-46Nf,58Sf,-52Avgf
2005:08:17_21h:07m:13s,-72N,33S,-52Avg,-46Nf,58Sf,-52Avgf
2005:08:27_21h:07m:13s,-61N,26S,-43Avg,-46Nf,58Sf,-52Avgf
2005:09:06_21h:07m:13s,-60N,32S,-46Avg,-46Nf,58Sf,-52Avgf
2005:09:16_21h:07m:13s,-49N,35S,-42Avg,-46Nf,58Sf,-52Avgf
2005:09:26_21h:07m:13s,-64N,30S,-47Avg,-47Nf,58Sf,-52Avgf
2005:10:06_21h:07m:13s,-67N,37S,-52Avg,-47Nf,58Sf,-53Avgf
2005:10:16_21h:07m:13s,-60N,39S,-49Avg,-47Nf,58Sf,-53Avgf
2005:10:26_21h:07m:13s,-63N,53S,-58Avg,-47Nf,58Sf,-53Avgf
2005:11:05_21h:07m:13s,-53N,39S,-46Avg,-48Nf,58Sf,-53Avgf
2005:11:15_21h:07m:13s,-63N,44S,-53Avg,-48Nf,58Sf,-53Avgf
2005:11:25_21h:07m:13s,-60N,60S,-60Avg,-49Nf,58Sf,-53Avgf
2005:12:05_21h:07m:13s,-51N,70S,-60Avg,-49Nf,58Sf,-54Avgf
2005:12:15_21h:07m:13s,-48N,73S,-61Avg,-50Nf,58Sf,-54Avgf
2005:12:25_21h:07m:13s,-21N,63S,-42Avg,-50Nf,58Sf,-54Avgf
2006:01:04_21h:07m:13s,-1N,91S,-46Avg,-51Nf,57Sf,-54Avgf
2006:01:14_21h:07m:13s,-25N,103S,-64Avg,-52Nf,57Sf,-54Avgf
2006:01:24_21h:07m:13s,-50N,117S,-84Avg,-52Nf,57Sf,-55Avgf
2006:02:03_21h:07m:13s,-60N,93S,-77Avg,-53Nf,57Sf,-55Avgf
2006:02:13_21h:07m:13s,-43N,74S,-59Avg,-53Nf,57Sf,-55Avgf
2006:02:23_21h:07m:13s,-35N,74S,-55Avg,-54Nf,57Sf,-55Avgf
2006:03:05_21h:07m:13s,-22N,62S,-42Avg,-55Nf,57Sf,-56Avgf
2006:03:15_21h:07m:13s,-19N,62S,-40Avg,-55Nf,56Sf,-56Avgf
2006:03:25_21h:07m:13s,-17N,56S,-37Avg,-56Nf,56Sf,-56Avgf
2006:04:04_21h:07m:13s,-38N,65S,-51Avg,-56Nf,56Sf,-56Avgf
2006:04:14_21h:07m:13s,-53N,55S,-54Avg,-57Nf,56Sf,-57Avgf
2006:04:24_21h:07m:13s,-46N,61S,-53Avg,-58Nf,56Sf,-57Avgf
2006:05:04_21h:07m:13s,-49N,63S,-56Avg,-58Nf,56Sf,-57Avgf
2006:05:14_21h:07m:13s,-51N,67S,-59Avg,-59Nf,56Sf,-58Avgf
