Carr Rot,Start Date,R_av,R_n,R_s,L_av,L_n,L_s
CR 1800,1988-03-15 03h,28.5,25.2,-31.7,44,40,-48
CR 1801,1988-04-11 09h,19.8,17.3,-22.3,31.6,22.8,-40.4
CR 1802,1988-05-08 16h,28.5,21.7,-35.4,44.1,34.9,-53.3
CR 1803,1988-06-04 22h,31.1,25.1,-37.1,45.3,40.3,-50.3
CR 1804,1988-07-02 05h,30.2,25.6,-34.7,42.6,39.8,-45.3
CR 1805,1988-07-29 12h,38.7,43.3,-34,49.5,57.6,-41.5
CR 1806,1988-08-25 18h,44.7,45.2,-44.1,56.5,59,-54
CR 1807,1988-09-22 01h,36.9,45.4,-28.3,50.2,63.3,-37.2
CR 1808,1988-10-19 07h,34.8,38.9,-30.6,48.3,58.1,-38.5
CR 1809,1988-11-15 14h,32.6,29.1,-36.2,52.9,55.1,-50.7
CR 1810,1988-12-12 21h,43.6,49,-38.3,58.9,65.7,-52.1
CR 1811,1989-01-09 03h,45.2,46.5,-43.9,62.6,66.8,-58.3
CR 1812,1989-02-05 10h,61.1,61.2,-61,71.5,75.1,-67.8
CR 1813,1989-03-04 16h,59.3,69.5,-49.1,65.8,71.2,-60.4
CR 1814,1989-03-31 23h,61,75.1,-46.9,67.8,70.8,-64.7
CR 1815,1989-04-28 06h,60.5,74.3,-46.8,67.8,70.3,-65.3
CR 1816,1989-05-25 12h,75,75.2,-74.9,69.9,66.6,-73.2
CR 1817,1989-06-21 19h,73.3,74.6,-71.9,61.1,47.9,-74.4
CR 1818,1989-07-19 01h,72.8,71.9,-73.8,74.4,74,-74.8
CR 1819,1989-08-15 08h,68.7,69.6,-67.8,71.9,68.6,-75.2
CR 1820,1989-09-11 15h,61.6,63.3,-59.9,59,43.5,-74.5
CR 1821,1989-10-08 21h,70.9,70.7,-71.2,64.2,74.9,-53.6
CR 1822,1989-11-05 04h,74.2,74.9,-73.5,66.9,74.6,-59.2
CR 1823,1989-12-02 11h,72.3,70.1,-74.5,69.6,75.1,-64.1
CR 1824,1989-12-29 17h,74.7,74.5,-74.9,70.2,74.5,-65.9
CR 1825,1990-01-26 00h,74.3,75,-73.6,70.4,74.7,-66
CR 1826,1990-02-22 06h,74.5,75,-74.1,74.5,75.1,-73.9
CR 1827,1990-03-21 13h,69.1,68.6,-69.7,75,75,-75.1
CR 1828,1990-04-17 20h,63.1,71,-55.2,70.2,75.2,-65.3
CR 1829,1990-05-15 02h,68.5,61.8,-75.1,74.8,74.5,-75.1
CR 1830,1990-06-11 09h,64,56.4,-71.7,72.4,70.2,-74.6
CR 1831,1990-07-08 15h,72.1,72.2,-72,73.6,72.7,-74.5
