%OSF estimates from the combined ACE and Wind 128-second magnetic field and electron data. See the paper 'Estimating the Open Solar Flux from In-Situ Measurements' for more info.
%
%(Anna Frost, 06/04/22)
%
%Year	Month	Day	Hour	Minute	Second	OSF (x10^{14} Wb)	OSF minimum (x10^{14} Wb)	OSF maximum (x10^{14} Wb)	Absolute OSF error (x10^{14} Wb)	Open Flux (%)	Inverted Flux (%)	Newly-Opened Flux (%)	Disconnected Flux (%)	Available Data (%)
1998	2	18	18	35	34	6.814050347	6.483155815	7.144944879	4.856062331	72.04495614	12.84539474	7.697368421	7.412280702	99.09273646
1998	3	18	1	4	22	8.375742466	7.979607431	8.771877501	4.729551279	73.87697178	11.96987064	10.6053163	3.547841275	99.53278644
1998	4	14	7	33	10	10.19716648	9.705331564	10.68900139	4.823250782	70.99441463	10.21246304	14.03460738	4.758514949	99.20686658
1998	5	11	14	1	58	6.469678062	6.153687606	6.785668519	4.884175898	71.13379431	20.9033037	4.703106135	3.259795851	98.99494757
1998	6	7	20	30	46	6.710571722	6.276860051	7.144283393	6.463110584	61.55765135	17.63918467	17.04289626	3.760267721	89.28668441
1998	7	5	2	59	34	5.718320859	5.35433917	6.082302549	6.365184785	53.61034607	17.40510119	20.69213268	8.292420069	90.73721954
1998	8	1	9	28	22	7.273470418	6.814368637	7.7325722	6.312004519	60.95906711	16.70038077	16.26606378	6.074488339	91.3081269
1998	8	28	15	57	10	7.289957082	6.943125357	7.636788807	4.757664846	74.41403049	13.58247282	5.316068404	6.68742829	99.43499756
1998	9	24	22	25	58	9.523554033	9.02495729	10.02215078	5.235406251	73.82143651	10.07894152	13.52012453	2.579497443	97.72369207
1998	10	22	4	54	46	6.935633812	6.48438837	7.386879253	6.50618896	52.71567596	18.24039979	26.0783798	2.96554445	82.62074211
1998	11	18	11	23	34	8.61316789	8.106197116	9.120138663	5.885996649	60.68613467	11.04271451	22.62592898	5.64522183	72.36527597
1998	12	15	17	52	22	8.401084516	7.855460395	8.946708637	6.494686731	54.26479319	12.46124415	28.68922752	4.584735141	82.35453903
1999	1	12	0	21	10	8.973408399	8.46921265	9.477604148	5.618776354	53.62071903	8.868631794	33.97512353	3.535525643	63.76921823
1999	2	8	6	49	58	7.677827769	7.20280726	8.152848279	6.18691281	65.95248197	12.13406873	20.81742328	1.096026022	76.82946705
1999	3	7	13	18	46	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
1999	4	3	19	47	34	8.171584917	7.650226567	8.692943267	6.380137457	58.84071759	14.96330525	23.57977711	2.616200054	79.94784593
1999	5	1	2	16	22	6.355993766	5.939262384	6.772725148	6.556510241	54.08032745	15.88641596	26.75876183	3.274494756	84.94594448
1999	5	28	8	45	10	6.314022482	5.981628787	6.646416177	5.264373	76.25939326	13.41497356	7.881992764	2.443640412	97.59873961
1999	6	24	15	13	58	6.439651634	6.126838476	6.752464792	4.857609941	69.7752193	13.73903509	10.21381579	6.271929825	99.08735332
1999	7	21	21	42	46	7.887077368	7.442280353	8.331874382	5.639567025	66.18354753	9.856762724	19.43610938	4.523580366	95.95805943
1999	8	18	4	11	34	8.4508704	7.899982166	9.001758635	6.518715921	67.90430122	10.90992287	18.68218068	2.503595241	83.10968653
1999	9	14	10	40	22	10.06685428	9.42143272	10.71227584	6.411352975	65.9419417	9.648277523	21.48277523	2.927005541	90.20481339
1999	10	11	17	9	10	9.345947327	8.821764043	9.87013061	5.608669355	54.34037931	8.229593116	34.60606567	2.823961902	65.0206432
1999	11	7	23	37	58	7.563425479	7.101604237	8.02524672	6.105979931	36.12376614	12.0254366	43.37509491	8.475702354	57.23909382
1999	12	5	6	6	46	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
2000	1	1	12	35	34	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
2000	1	28	19	4	22	8.504605474	8.042756268	8.966454681	5.430577681	67.32645509	12.50981272	18.01054166	2.153190535	96.88179053
2000	2	25	1	33	10	6.664770338	6.305266383	7.024274292	5.39409366	66.47631844	16.44832606	9.276676744	7.798678759	97.03916988
2000	3	23	8	1	58	7.419909197	6.961349106	7.878469289	6.18013077	64.53430366	16.16292036	15.24150478	4.061271201	92.56804477
2000	4	19	14	30	46	6.671189807	6.256803102	7.085576511	6.211586189	66.47446458	18.67498235	12.64415157	2.206401506	92.33443799
2000	5	16	20	59	34	8.762054777	8.19356294	9.330546613	6.488110964	57.76500132	15.58287074	25.32381708	1.328310864	82.20338983
2000	6	13	3	28	22	6.21651729	5.810527405	6.622507175	6.530825317	48.17029574	19.66200845	28.70328242	3.46441339	83.58233281
